caller_entry	caller	callsite	callee_entry	callee
1400152d0	FUN_1400152d0	140015323	140036e9c	operator_new
1400152d0	FUN_1400152d0	140015334	140006bd0	FUN_140006bd0
1400152d0	FUN_1400152d0	14001534a	140036e9c	operator_new
1400152d0	FUN_1400152d0	14001535b	140006bd0	FUN_140006bd0
1400152d0	FUN_1400152d0	14001536d	1400049f0	FUN_1400049f0
1400152d0	FUN_1400152d0	140015384	EXTERNAL:000001ee	ResetEvent
1400152d0	FUN_1400152d0	14001538f	140036153	pcap_sendqueue_alloc
1400152d0	FUN_1400152d0	14001539d	140036e9c	operator_new
1400152d0	FUN_1400152d0	1400153d5	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	1400153e7	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	14001540e	14003643c	operator_new
1400152d0	FUN_1400152d0	14001543c	14003616b	pcap_next_ex
1400152d0	FUN_1400152d0	14001546b	EXTERNAL:000002cc	ntohs
1400152d0	FUN_1400152d0	140015477	EXTERNAL:000002cc	ntohs
1400152d0	FUN_1400152d0	140015486	EXTERNAL:000002cc	ntohs
1400152d0	FUN_1400152d0	1400154c8	EXTERNAL:00000197	Format
1400152d0	FUN_1400152d0	1400154f1	EXTERNAL:0000019f	Compare
1400152d0	FUN_1400152d0	14001551c	140006f00	FUN_140006f00
1400152d0	FUN_1400152d0	140015527	140007200	FUN_140007200
1400152d0	FUN_1400152d0	140015542	140006e90	FUN_140006e90
1400152d0	FUN_1400152d0	140015555	140004dd0	FUN_140004dd0
1400152d0	FUN_1400152d0	14001556a	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	14001559f	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	1400156f4	140004c40	FUN_140004c40
1400152d0	FUN_1400152d0	140015751	140006e80	FUN_140006e80
1400152d0	FUN_1400152d0	140015784	EXTERNAL:0000019f	Compare
1400152d0	FUN_1400152d0	1400157ad	140007200	FUN_140007200
1400152d0	FUN_1400152d0	1400157d7	140006e80	FUN_140006e80
1400152d0	FUN_1400152d0	1400157fc	140006ed0	FUN_140006ed0
1400152d0	FUN_1400152d0	140015849	140006e90	FUN_140006e90
1400152d0	FUN_1400152d0	14001585c	140004dd0	FUN_140004dd0
1400152d0	FUN_1400152d0	140015873	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	140015885	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	140015906	EXTERNAL:0000019f	Compare
1400152d0	FUN_1400152d0	140015930	140007200	FUN_140007200
1400152d0	FUN_1400152d0	140015938	140006e80	FUN_140006e80
1400152d0	FUN_1400152d0	14001598e	140004c40	FUN_140004c40
1400152d0	FUN_1400152d0	1400159ff	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015a43	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015aa4	140006f00	FUN_140006f00
1400152d0	FUN_1400152d0	140015aed	140006e90	FUN_140006e90
1400152d0	FUN_1400152d0	140015b00	140004dd0	FUN_140004dd0
1400152d0	FUN_1400152d0	140015b17	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	140015b29	140004d60	FUN_140004d60
1400152d0	FUN_1400152d0	140015b6a	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015b91	140020e20	FUN_140020e20
1400152d0	FUN_1400152d0	140015bb8	EXTERNAL:000001ec	TryEnterCriticalSection
1400152d0	FUN_1400152d0	140015c3d	1400364f4	free
1400152d0	FUN_1400152d0	140015c54	14003643c	operator_new
1400152d0	FUN_1400152d0	140015c90	140004c40	FUN_140004c40
1400152d0	FUN_1400152d0	140015cbd	140039b1e	memcpy
1400152d0	FUN_1400152d0	140015cd6	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015ce1	14003643c	operator_new
1400152d0	FUN_1400152d0	140015cf6	140004c40	FUN_140004c40
1400152d0	FUN_1400152d0	140015d14	140039b1e	memcpy
1400152d0	FUN_1400152d0	140015d2d	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015d3a	140036051	jpeg_std_error
1400152d0	FUN_1400152d0	140015d52	140036057	jpeg_CreateDecompress
1400152d0	FUN_1400152d0	140015d63	140036063	jpeg_mem_src
1400152d0	FUN_1400152d0	140015d70	140036069	jpeg_read_header
1400152d0	FUN_1400152d0	140015d79	14003606f	jpeg_start_decompress
1400152d0	FUN_1400152d0	140015daa	EXTERNAL:0000020a	EnterCriticalSection
1400152d0	FUN_1400152d0	140015deb	140036075	jpeg_read_scanlines
1400152d0	FUN_1400152d0	140015e06	14003607b	jpeg_finish_decompress
1400152d0	FUN_1400152d0	140015e0f	14003605d	jpeg_destroy_decompress
1400152d0	FUN_1400152d0	140015e17	1400364f4	free
1400152d0	FUN_1400152d0	140015e42	140020e30	FUN_140020e30
1400152d0	FUN_1400152d0	140015e4e	EXTERNAL:000001a0	GetManager
1400152d0	FUN_1400152d0	140015e5b	EXTERNAL:000001b9	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	140015e89	EXTERNAL:000001bb	Concatenate
1400152d0	FUN_1400152d0	140015ea7	EXTERNAL:000001a2	operator=
1400152d0	FUN_1400152d0	140015eba	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	140015ec5	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	140015f37	EXTERNAL:00000209	LeaveCriticalSection
1400152d0	FUN_1400152d0	140015f48	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140015fb1	140006f00	FUN_140006f00
1400152d0	FUN_1400152d0	14001600a	1400363fc	free
1400152d0	FUN_1400152d0	14001601a	1400363fc	free
1400152d0	FUN_1400152d0	14001602b	140036159	pcap_sendqueue_destroy
1400152d0	FUN_1400152d0	140016039	14003613b	pcap_close
1400152d0	FUN_1400152d0	140016051	EXTERNAL:000001a1	operator=
1400152d0	FUN_1400152d0	14001605e	EXTERNAL:000001ef	SetEvent
1400152d0	FUN_1400152d0	140016069	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	140016075	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
1400152d0	FUN_1400152d0	140016081	140004a30	FUN_140004a30
1400152d0	FUN_1400152d0	140016090	1400364d0	__security_check_cookie
140007980	FUN_140007980	1400079d7	140036d30	`eh_vector_constructor_iterator'
140007980	FUN_140007980	140007a00	140036d30	`eh_vector_constructor_iterator'
140007980	FUN_140007980	140007a29	140036d30	`eh_vector_constructor_iterator'
140007980	FUN_140007980	140007a36	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007a96	140004a10	FUN_140004a10
140007980	FUN_140007980	140007ac7	140036d30	`eh_vector_constructor_iterator'
140007980	FUN_140007980	140007ad4	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007ae2	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007b28	EXTERNAL:0000020b	InitializeCriticalSection
140007980	FUN_140007980	140007b3c	EXTERNAL:000001ed	CreateEventA
140007980	FUN_140007980	140007b57	EXTERNAL:000001ed	CreateEventA
140007980	FUN_140007980	140007b75	EXTERNAL:000001ed	CreateEventA
140007980	FUN_140007980	140007b93	EXTERNAL:000001ed	CreateEventA
140007980	FUN_140007980	140007bae	EXTERNAL:000001a1	operator=
140007980	FUN_140007980	140007bc2	EXTERNAL:000001a1	operator=
140007980	FUN_140007980	140007bdd	1400360ed	Pa_Initialize
140007980	FUN_140007980	140007bfb	1400360f9	Pa_GetHostApiCount
140007980	FUN_140007980	140007c12	1400360ff	Pa_GetHostApiInfo
140007980	FUN_140007980	140007c26	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007c3c	EXTERNAL:0000019f	Compare
140007980	FUN_140007980	140007c4e	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007c6e	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007c99	140036105	Pa_HostApiDeviceIndexToDeviceIndex
140007980	FUN_140007980	140007ca0	14003610b	Pa_GetDeviceInfo
140007980	FUN_140007980	140007cb4	EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007ccc	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007cdb	EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
140007980	FUN_140007980	140007cfd	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007d31	EXTERNAL:000001a2	operator=
140007980	FUN_140007980	140007d98	14000ab60	FUN_14000ab60
14000e1a0	FUN_14000e1a0	14000e1f3	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e21e	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e22b	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e238	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e245	140020e00	FUN_140020e00
14000e1a0	FUN_14000e1a0	14000e2a1	140004a10	FUN_140004a10
14000e1a0	FUN_14000e1a0	14000e2d2	140036d30	`eh_vector_constructor_iterator'
14000e1a0	FUN_14000e1a0	14000e2df	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
14000e1a0	FUN_14000e1a0	14000e2ed	EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>
14000e1a0	FUN_14000e1a0	14000e322	EXTERNAL:0000020b	InitializeCriticalSection
14000e1a0	FUN_14000e1a0	14000e391	140036e9c	operator_new
14000e1a0	FUN_14000e1a0	14000e3a3	140014880	FUN_140014880
14000e1a0	FUN_14000e1a0	14000e3b7	140014950	FUN_140014950
14000e1a0	FUN_14000e1a0	14000e5c9	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e5e4	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e5ff	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e639	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e657	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e675	EXTERNAL:000001ed	CreateEventA
14000e1a0	FUN_14000e1a0	14000e6a8	14000ab60	FUN_14000ab60
1400115c0	FUN_1400115c0	14001160d	140036e9c	operator_new
1400115c0	FUN_1400115c0	14001161f	140006c50	FUN_140006c50
1400115c0	FUN_1400115c0	14001163a	140007250	FUN_140007250
1400115c0	FUN_1400115c0	140011646	140006ef0	FUN_140006ef0
