entry	name	body
1400049f0	FUN_1400049f0	[[1400049f0, 140004a06]]
1400152d0	FUN_1400152d0	[[1400152d0, 1400160b5]]
140004a10	FUN_140004a10	[[140004a10, 140004a2e]]
140007980	FUN_140007980	[[140007980, 14000865c]]
14000e1a0	FUN_14000e1a0	[[14000e1a0, 14000e6f2]]
1400115c0	FUN_1400115c0	[[1400115c0, 140011c09]]
140011c10	FUN_140011c10	[[140011c10, 14001248c]]
140004bf0	FUN_140004bf0	[[140004bf0, 140004bfd]]
140009bf0	FUN_140009bf0	[[140009bf0, 140009ff5]]
140004c40	FUN_140004c40	[[140004c40, 140004c47]]
140004ae0	FUN_140004ae0	[[140004ae0, 140004b14]]
140004d60	FUN_140004d60	[[140004d60, 140004d6b]]
140004dc0	FUN_140004dc0	[[140004dc0, 140004dc7]]
140004dd0	FUN_140004dd0	[[140004dd0, 140004ddf]]
140004e40	FUN_140004e40	[[140004e40, 140004e47]]
140004b20	FUN_140004b20	[[140004b20, 140004bd7]]
140004ff0	FUN_140004ff0	[[140004ff0, 140004ffb]]
140006bd0	FUN_140006bd0	[[140006bd0, 140006c49]]
140006bb0	FUN_140006bb0	[[140006bb0, 140006bc3]]
140007030	FUN_140007030	[[140007030, 1400070af]]
140007320	FUN_140007320	[[140007320, 14000736e]]
140006c50	FUN_140006c50	[[140006c50, 140006cb9]]
140006b90	FUN_140006b90	[[140006b90, 140006ba3]]
1400072d0	FUN_1400072d0	[[1400072d0, 14000731e]]
140006f90	FUN_140006f90	[[140006f90, 140007029]]
140006e80	FUN_140006e80	[[140006e80, 140006e89]]
140006e90	FUN_140006e90	[[140006e90, 140006e9d]]
140006eb0	FUN_140006eb0	[[140006eb0, 140006eb3]]
140006ec0	FUN_140006ec0	[[140006ec0, 140006ec3]]
140006ed0	FUN_140006ed0	[[140006ed0, 140006ed3]]
140006ee0	FUN_140006ee0	[[140006ee0, 140006eea]]
140006ef0	FUN_140006ef0	[[140006ef0, 140006ef3]]
140006f00	FUN_140006f00	[[140006f00, 140006f8f]]
1400363fc	free	[[1400363fc, 140036400]]
14003643c	operator_new	[[14003643c, 140036440]]
140039b36	memset	[[140039b36, 140039b3b]]
1400070b0	FUN_1400070b0	[[1400070b0, 1400071fb]]
140006df0	FUN_140006df0	[[140006df0, 140006e33]]
140039b1e	memcpy	[[140039b1e, 140039b23]]
140007200	FUN_140007200	[[140007200, 14000724c]]
140007250	FUN_140007250	[[140007250, 1400072c2]]
140009be0	FUN_140009be0	[[140009be0, 140009bef]]
140036e9c	operator_new	[[140036e9c, 140036ed0] [140036ed2, 140036ed6]]
1400209e0	FUN_1400209e0	[[1400209e0, 1400209fc]]
140008b10	FUN_140008b10	[[140008b10, 140008e77]]
EXTERNAL:000001ee	ResetEvent	[empty]

EXTERNAL:000001fa	WaitForSingleObject	[empty]

EXTERNAL:0000020a	EnterCriticalSection	[empty]

EXTERNAL:000002cd	inet_addr	[empty]

140020ba0	FUN_140020ba0	[[140020ba0, 140020d61]]
140036141	pcap_sendpacket	[[140036141, 140036146]]
EXTERNAL:00000209	LeaveCriticalSection	[empty]

140020a00	FUN_140020a00	[[140020a00, 140020a0c]]
14003613b	pcap_close	[[14003613b, 140036140]]
1400364f4	free	[[1400364f4, 1400364f8]]
EXTERNAL:000001ef	SetEvent	[empty]

14000acb0	FUN_14000acb0	[[14000acb0, 14000acda]]
14000ad00	FUN_14000ad00	[[14000ad00, 14000b05e]]
140011590	FUN_140011590	[[140011590, 1400115b4]]
EXTERNAL:000001b0	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>	[empty]

140036153	pcap_sendqueue_alloc	[[140036153, 140036158]]
14003615f	pcap_sendqueue_queue	[[14003615f, 140036164]]
140036165	pcap_sendqueue_transmit	[[140036165, 14003616a]]
140036159	pcap_sendqueue_destroy	[[140036159, 14003615e]]
EXTERNAL:000001af	~CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>	[empty]

140004a40	FUN_140004a40	[[140004a40, 140004a57]]
1400364d0	__security_check_cookie	[[1400364d0, 1400364f0]]
EXTERNAL:000002af	malloc	[empty]

140036051	jpeg_std_error	[[140036051, 140036056]]
140036081	jpeg_CreateCompress	[[140036081, 140036086]]
140020e20	FUN_140020e20	[[140020e20, 140020e2a]]
140036093	jpeg_set_defaults	[[140036093, 140036098]]
140036099	jpeg_set_quality	[[140036099, 14003609e]]
14003608d	jpeg_mem_dest	[[14003608d, 140036092]]
14003609f	jpeg_start_compress	[[14003609f, 1400360a4]]
1400360a5	jpeg_write_scanlines	[[1400360a5, 1400360aa]]
1400360ab	jpeg_finish_compress	[[1400360ab, 1400360b0]]
140020e30	FUN_140020e30	[[140020e30, 140020edb]]
EXTERNAL:000001a0	GetManager	[empty]

EXTERNAL:000001b9	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>	[empty]

EXTERNAL:000001bb	Concatenate	[empty]

EXTERNAL:000001a2	operator=	[empty]

140036087	jpeg_destroy_compress	[[140036087, 14003608c]]
EXTERNAL:000002ae	free	[empty]

1400160c0	FUN_1400160c0	[[1400160c0, 1400160cf]]
EXTERNAL:000001ba	CStringT<char,class_StrTraitMFC_DLL<char,class_ATL::ChTraitsCRT<char>_>_>	[empty]

14003616b	pcap_next_ex	[[14003616b, 140036170]]
EXTERNAL:000002cc	ntohs	[empty]

EXTERNAL:00000197	Format	[empty]

EXTERNAL:0000019f	Compare	[empty]

EXTERNAL:000001ec	TryEnterCriticalSection	[empty]

140036057	jpeg_CreateDecompress	[[140036057, 14003605c]]
140036063	jpeg_mem_src	[[140036063, 140036068]]
140036069	jpeg_read_header	[[140036069, 14003606e]]
14003606f	jpeg_start_decompress	[[14003606f, 140036074]]
140036075	jpeg_read_scanlines	[[140036075, 14003607a]]
14003607b	jpeg_finish_decompress	[[14003607b, 140036080]]
14003605d	jpeg_destroy_decompress	[[14003605d, 140036062]]
EXTERNAL:000001a1	operator=	[empty]

140004a30	FUN_140004a30	[[140004a30, 140004a3a]]
140016f20	FUN_140016f20	[[140016f20, 1400174cf]]
14002b9b0	FUN_14002b9b0	[[14002b9b0, 14002c0f7]]
14002f3d0	FUN_14002f3d0	[[14002f3d0, 14002f5fe] [14002f600, 14002fd6d]]
140036147	pcap_findalldevs	[[140036147, 14003614c]]
140039b2a	strstr	[[140039b2a, 140039b2f]]
140020660	FUN_140020660	[[140020660, 14002086f]]
14003614d	pcap_open	[[14003614d, 140036152]]
14003617d	pcap_freealldevs	[[14003617d, 140036182]]
140036183	pcap_setmintocopy	[[140036183, 140036188]]
140036177	pcap_compile	[[140036177, 14003617c]]
140036171	pcap_setfilter	[[140036171, 140036176]]
EXTERNAL:0000028f	_time64	[empty]

EXTERNAL:00000293	_localtime64_s	[empty]

EXTERNAL:00000290	strftime	[empty]

140037dfe	AfxBeginThread	[[140037dfe, 140037e03]]
140015270	FUN_140015270	[[140015270, 140015287]]
EXTERNAL:000002c8	htons	[empty]

140020a80	FUN_140020a80	[[140020a80, 140020b93]]
140020a10	FUN_140020a10	[[140020a10, 140020a71]]
14000db70	FUN_14000db70	[[14000db70, 14000df25]]
1400190f0	FUN_1400190f0	[[1400190f0, 14001951a]]
1400107c0	FUN_1400107c0	[[1400107c0, 140010f93] [140010f95, 140011514] [140011516, 14001151b] [14001151d, 140011522] [140011524, 140011578]]
140012ec0	FUN_140012ec0	[[140012ec0, 140013944] [140013946, 14001394b] [14001394d, 140013a20]]
14001ac90	FUN_14001ac90	[[14001ac90, 14001b567]]
EXTERNAL:00000205	QueryPerformanceCounter	[empty]

EXTERNAL:00000204	QueryPerformanceFrequency	[empty]

