symbol	address	ref_from	ref_type	function	function_entry
JPEG62.DLL::jpeg_mem_src	EXTERNAL:00000003	140042aa0	DATA		
JPEG62.DLL::jpeg_mem_src	EXTERNAL:00000003	140036063	COMPUTED_JUMP	jpeg_mem_src	140036063
JPEG62.DLL::jpeg_destroy_decompress	EXTERNAL:00000004	140042aa8	DATA		
JPEG62.DLL::jpeg_destroy_decompress	EXTERNAL:00000004	14003605d	COMPUTED_JUMP	jpeg_destroy_decompress	14003605d
JPEG62.DLL::jpeg_std_error	EXTERNAL:00000005	140042ab0	DATA		
JPEG62.DLL::jpeg_std_error	EXTERNAL:00000005	140036051	COMPUTED_JUMP	jpeg_std_error	140036051
JPEG62.DLL::jpeg_read_header	EXTERNAL:00000006	140042ab8	DATA		
JPEG62.DLL::jpeg_read_header	EXTERNAL:00000006	140036069	COMPUTED_JUMP	jpeg_read_header	140036069
JPEG62.DLL::jpeg_start_decompress	EXTERNAL:00000007	140042ac0	DATA		
JPEG62.DLL::jpeg_start_decompress	EXTERNAL:00000007	14003606f	COMPUTED_JUMP	jpeg_start_decompress	14003606f
JPEG62.DLL::jpeg_read_scanlines	EXTERNAL:00000008	140042ac8	DATA		
JPEG62.DLL::jpeg_read_scanlines	EXTERNAL:00000008	140036075	COMPUTED_JUMP	jpeg_read_scanlines	140036075
JPEG62.DLL::jpeg_finish_decompress	EXTERNAL:00000009	140042ad0	DATA		
JPEG62.DLL::jpeg_finish_decompress	EXTERNAL:00000009	14003607b	COMPUTED_JUMP	jpeg_finish_decompress	14003607b
JPEG62.DLL::jpeg_CreateCompress	EXTERNAL:0000000a	140042ad8	DATA		
JPEG62.DLL::jpeg_CreateCompress	EXTERNAL:0000000a	140036081	COMPUTED_JUMP	jpeg_CreateCompress	140036081
JPEG62.DLL::jpeg_destroy_compress	EXTERNAL:0000000b	140042ae0	DATA		
JPEG62.DLL::jpeg_destroy_compress	EXTERNAL:0000000b	140036087	COMPUTED_JUMP	jpeg_destroy_compress	140036087
JPEG62.DLL::jpeg_mem_dest	EXTERNAL:0000000c	140042ae8	DATA		
JPEG62.DLL::jpeg_mem_dest	EXTERNAL:0000000c	14003608d	COMPUTED_JUMP	jpeg_mem_dest	14003608d
JPEG62.DLL::jpeg_set_defaults	EXTERNAL:0000000d	140042af0	DATA		
JPEG62.DLL::jpeg_set_defaults	EXTERNAL:0000000d	140036093	COMPUTED_JUMP	jpeg_set_defaults	140036093
JPEG62.DLL::jpeg_set_quality	EXTERNAL:0000000e	140042af8	DATA		
JPEG62.DLL::jpeg_set_quality	EXTERNAL:0000000e	140036099	COMPUTED_JUMP	jpeg_set_quality	140036099
JPEG62.DLL::jpeg_start_compress	EXTERNAL:0000000f	140042b00	DATA		
JPEG62.DLL::jpeg_start_compress	EXTERNAL:0000000f	14003609f	COMPUTED_JUMP	jpeg_start_compress	14003609f
JPEG62.DLL::jpeg_write_scanlines	EXTERNAL:00000010	140042b08	DATA		
JPEG62.DLL::jpeg_write_scanlines	EXTERNAL:00000010	1400360a5	COMPUTED_JUMP	jpeg_write_scanlines	1400360a5
JPEG62.DLL::jpeg_finish_compress	EXTERNAL:00000011	140042b10	DATA		
JPEG62.DLL::jpeg_finish_compress	EXTERNAL:00000011	1400360ab	COMPUTED_JUMP	jpeg_finish_compress	1400360ab
JPEG62.DLL::jpeg_CreateDecompress	EXTERNAL:00000012	140042b18	DATA		
JPEG62.DLL::jpeg_CreateDecompress	EXTERNAL:00000012	140036057	COMPUTED_JUMP	jpeg_CreateDecompress	140036057
PORTAUDIO_X64.DLL::Pa_CloseStream	EXTERNAL:0000001c	140043670	DATA		
PORTAUDIO_X64.DLL::Pa_CloseStream	EXTERNAL:0000001c	140036117	COMPUTED_JUMP	Pa_CloseStream	140036117
