# path|max_lines|reason
Sources/OpenLolaCore/Audio/MADI/MadiReceive.swift|773|Current baseline before dedicated MADI receive split
Sources/OpenLolaCore/Audio/Realtime/DirectPeerRealtimeAudioGraph.swift|1031|Current realtime graph baseline before dedicated audio-safety split
Sources/OpenLolaCore/Audio/Routing/AudioLoopbackRun.swift|824|Current baseline before dedicated loopback runner split
Sources/OpenLolaCore/Connectors/JackTrip/JackTripCompatibility.swift|829|Current compatibility baseline before dedicated connector split
Sources/OpenLolaCore/Connectors/LoLa/LoLaControlExchangeRuntime.swift|898|Current control exchange baseline before dedicated runtime split
Sources/OpenLolaCore/Connectors/NMP/ExternalConnectorConnectionPlan.swift|904|Current connector plan baseline before dedicated planning split
Sources/OpenLolaCore/Network/P2P/DirectPeerSessionAVSocketRunner.swift|954|Current AV socket runner baseline before dedicated transport split
Sources/OpenLolaCore/Network/P2P/DirectPeerSessionReport.swift|957|Current report baseline before dedicated validator split
Sources/OpenLolaCore/Network/P2P/PeerSessionRunner.swift|821|Current peer session baseline before dedicated runner split
Sources/OpenLolaCore/Network/UDP/UdpMediaTransport.swift|738|Current UDP media baseline before dedicated transport split
Sources/OpenLolaCore/Network/UDP/UdpPcmV2Packet.swift|840|Current UDP packet baseline before dedicated packet split
Sources/OpenLolaCore/Release/RecordingSessionArtifacts.swift|812|Current release artifact baseline before dedicated report split
Sources/OpenLolaCore/Video/VideoCaptureAVFoundation.swift|803|Current AVFoundation capture baseline before dedicated capture split
Sources/OpenLolaCore/Video/VideoTransportPacket.swift|862|Current video packet baseline before dedicated packet split
Sources/open-lola-app/AppExecutionController.swift|831|Current app execution baseline before dedicated controller split
Sources/open-lola-app/AppShellSettingsView.swift|754|Current settings view baseline before dedicated view split
Tests/OpenLolaCoreTests/ExternalConnectorSessionTests.swift|739|Current connector test baseline before dedicated fixture split
Tests/OpenLolaCoreTests/VerificationToolingContractTests.swift|967|Current verification tooling baseline before dedicated fixture split
linux_connector/lola_connector/backends.py|782|Current connector backend baseline before dedicated backend split
linux_connector/lola_connector/connector.py|819|Current Python connector baseline before dedicated connector split
